party,variable,value,value_label,respondents,total,pct
Faith-Based Conservatives,faminc_new,8,$70-80K,217.29101113406122,3321.1530019334227,0.06542637782949608
Faith-Based Conservatives,faminc_new,9,$80-100K,261.03389928007783,3321.1530019334227,0.07859737239691032
Faith-Based Conservatives,faminc_new,10,$100-120K,241.5274552010123,3321.1530019334227,0.07272397720322012
Faith-Based Conservatives,faminc_new,11,$120-150K,247.90406919479435,3321.1530019334227,0.07464397727249422
Faith-Based Conservatives,faminc_new,12,$150-200K,152.45470036348777,3321.1530019334227,0.045904148431203155
Faith-Based Conservatives,faminc_new,13,$200-250K,84.85196634707563,3321.1530019334227,0.025548948301291362
Faith-Based Conservatives,faminc_new,14,$250-350K,41.71820774514976,3321.1530019334227,0.012561362792037385
Faith-Based Conservatives,faminc_new,15,$350-500K,23.85377586174267,3321.1530019334227,0.007182377881373154
Faith-Based Conservatives,faminc_new,16,>500K,19.153307311865376,3321.1530019334227,0.005767065624713827
Faith-Based Conservatives,faminc_new,97,Prefer not to say,334.50926912476507,3321.1530019334227,0.10072082464434164
Faith-Based Conservatives,gender4,1,Man,1862.5391719252511,3321.15300193342,0.5608110107667331
Faith-Based Conservatives,gender4,2,Woman,1448.304262394917,3321.15300193342,0.43608477584494965
Faith-Based Conservatives,gender4,3,Non-binary,2.672387069665138,3321.15300193342,8.046564154404809e-4
Faith-Based Conservatives,gender4,4,Other,7.6371805435869895,3321.15300193342,0.0022995569728768836
Faith-Based Conservatives,race,1,White,2391.742567180538,3321.1530019334255,0.7201542855111382
Faith-Based Conservatives,race,2,Black,318.3516721363227,3321.1530019334255,0.09585576814768627
Faith-Based Conservatives,race,3,Hispanic,316.11338282978613,3321.1530019334255,0.09518181867735669
Faith-Based Conservatives,race,4,Asian,59.4997196456862,3321.1530019334255,0.017915380475108537
Faith-Based Conservatives,race,5,Native American,40.56274733838219,3321.1530019334255,0.012213453374405932
Faith-Based Conservatives,race,6,2+ races,88.47635912690843,3321.1530019334255,0.026640253874302536
Faith-Based Conservatives,race,7,Other,93.936736482327575,3321.1530019334255,0.02828437486247753
Faith-Based Conservatives,race,8,Middle Eastern,12.469817193474805,3321.1530019334255,0.003754665077524414
MAGA Right,educ,1,No HS,344.20728999744415,4114.412476428002,0.08365891654506007
MAGA Right,educ,2,HS grad,1189.1311018093938,4114.412476428002,0.2890160159250145
MAGA Right,educ,3,Some college,945.1340816739979,4114.412476428002,0.22971301178206913
MAGA Right,educ,4,2-year,403.13290086111425,4114.412476428002,0.09798067237320382
MAGA Right,educ,5,4-year,841.6257470810074,4114.412476428002,0.20455551112164602
MAGA Right,educ,6,Post-grad,391.18135500504496,4114.412476428002,0.09507587225300652
MAGA Right,faminc_new,1,<10K,403.70175626763114,4114.412476428006,0.09811893158026572
MAGA Right,faminc_new,2,$10-20K,202.730894225487,4114.412476428006,0.04927335200030579
MAGA Right,faminc_new,3,$20-30K,408.94621262255686,4114.412476428006,0.09939358656076946
MAGA Right,faminc_new,4,$30-40K,268.8258958022026,4114.412476428006,0.06533761438415338
MAGA Right,faminc_new,5,$40-50K,265.3223854294921,4114.412476428006,0.06448609295970151
MAGA Right,faminc_new,6,$50-60K,321.83029197510365,4114.412476428006,0.07822023042631493
MAGA Right,faminc_new,7,$60-70K,184.49501793457688,4114.412476428006,0.04484115751436502
MAGA Right,faminc_new,8,$70-80K,264.8579862561853,4114.412476428006,0.06437322163822673
MAGA Right,faminc_new,9,$80-100K,315.00464908505336,4114.412476428006,0.07656127111458931
MAGA Right,faminc_new,10,$100-120K,246.3452780939618,4114.412476428006,0.059873743701027875
