commonweight,age,party,gender4,educ,race,faminc_new
1.90421342807349,31,Religious Moderates,Woman,4-year,White,$100-120K
0.319605136853238,75,Progressive Left,Woman,4-year,White,$60-70K
0.594648463318508,45,Progressive Left,Woman,4-year,2+ races,$60-70K
1.27302041524807,61,MAGA Right,Woman,4-year,White,$70-80K
0.958561856744398,25,Disillusioned Left,Woman,4-year,White,$60-70K
0.460850846509678,51,Religious Moderates,Man,Post-grad,Asian,$250-350K
0.817743617490564,80,Religious Moderates,Woman,HS grad,White,$80-100K
0.048330651895641,42,Religious Moderates,Woman,4-year,Black,$60-70K
0.0309653744524676,79,Secular Moderates,Woman,4-year,White,$70-80K
0.0362771415191148,61,Moderate Left,Woman,HS grad,Black,$20-30K
0.666964953581892,75,Progressive Left,Woman,Post-grad,White,$60-70K
0.648710590585803,80,Traditional Right,Man,Some college,White,Prefer not to say
2.05907127845697,41,Nationalist Right,Woman,4-year,White,$120-150K
0.901519107656723,74,Progressive Left,Woman,Post-grad,White,$70-80K
0.54893506932417,66,Progressive Left,Man,Post-grad,2+ races,$80-100K
4.56284844072784,69,Nationalist Right,Man,No HS,White,$20-30K
0.934374324924225,43,Disillusioned Left,Man,4-year,White,$100-120K
0.244444561932495,69,Traditional Right,Man,4-year,Hispanic,$50-60K
0.46533527178073403,58,MAGA Right,Man,HS grad,White,Prefer not to say
2.28474063006311,31,Disillusioned Left,Woman,Some college,White,$70-80K
2.9397295227874,38,Moderate Left,Woman,Some college,Black,$50-60K
2.2610527202695,40,Secular Moderates,Woman,4-year,White,$70-80K
1.34492881680945,70,Nationalist Right,Woman,HS grad,White,$20-30K
0.204864039002936,43,Disillusioned Left,Man,4-year,Hispanic,$80-100K
0.749204676292136,74,Religious Moderates,Woman,HS grad,White,$30-40K
0.674759605432569,59,Religious Moderates,Man,4-year,White,$30-40K
1.15766073922035,60,MAGA Right,Woman,4-year,White,$30-40K
0.559518009259325,60,Progressive Left,Man,4-year,Black,$60-70K
0.00684969799927064,65,Nationalist Right,Woman,HS grad,White,Prefer not to say
0.00619600135092193,31,Moderate Left,Man,4-year,Hispanic,$50-60K
0.588193873926315,72,Progressive Left,Woman,Post-grad,White,$80-100K
0.0278259630114172,54,Religious Moderates,Woman,Post-grad,Asian,$150-200K
0.00567274891575929,20,Moderate Left,Woman,HS grad,Asian,Prefer not to say
0.37801162218072,73,MAGA Right,Woman,HS grad,White,$50-60K
0.604486801510812,54,Traditional Right,Man,4-year,Hispanic,Prefer not to say
0.420675815924968,26,Progressive Left,Man,Some college,White,<10K
2.66884543237116,34,Religious Moderates,Woman,Post-grad,Black,$120-150K
0.395640556559628,73,Religious Moderates,Man,Post-grad,White,$350-500K
1.06753454621464,76,MAGA Right,Woman,4-year,White,Prefer not to say
0.553971672803051,35,Traditional Right,Man,Post-grad,White,$150-200K
1.77246266643324,44,Religious Moderates,Man,Some college,2+ races,Prefer not to say
1.34180306120121,84,Nationalist Right,Woman,HS grad,White,Prefer not to say
3.70443544319812,33,Secular Moderates,Woman,4-year,Hispanic,$70-80K
1.31067269755144,41,Progressive Left,Woman,Some college,2+ races,$10-20K
0.815503301097224,74,Traditional Right,Man,4-year,Hispanic,$60-70K
0.220853172275756,66,Nationalist Right,Woman,HS grad,White,$30-40K
0.36719733375681,46,Disillusioned Left,Man,4-year,2+ races,$80-100K
0.481025210451475,71,Progressive Left,Woman,Some college,Asian,$40-50K
1.15438057084775,68,Religious Moderates,Man,HS grad,Other,$80-100K
0.546232176878994,53,Moderate Left,Man,Some college,Black,$10-20K
0.604486801510812,53,Progressive Left,Man,4-year,Hispanic,$40-50K
0.608309123394455,74,MAGA Right,Woman,2-year,White,$30-40K
0.352833265211919,44,Moderate Left,Woman,2-year,Hispanic,$40-50K
0.0988082858314387,35,Religious Moderates,Woman,4-year,Hispanic,$10-20K
0.483445965837698,79,Disillusioned Left,Woman,Post-grad,White,$40-50K
1.27302041524807,57,Nationalist Right,Woman,4-year,White,Prefer not to say
0.703024309264447,84,Traditional Right,Woman,Post-grad,White,$70-80K
0.398205267035399,62,Moderate Left,Woman,Post-grad,White,$80-100K
1.6420396890029,66,Progressive Left,Woman,4-year,White,$60-70K
0.78092027906549,59,Disillusioned Left,Woman,2-year,White,$120-150K
0.963960654370381,32,Religious Moderates,Woman,4-year,White,$150-200K
1.57075595647014,62,Moderate Left,Man,HS grad,White,$60-70K
0.960698489490193,69,Nationalist Right,Woman,HS grad,White,$30-40K
0.574088353778535,66,Nationalist Right,Woman,HS grad,White,$70-80K
0.1284917854078,63,Progressive Left,Woman,Some college,White,$30-40K
2.44644014914634,45,Progressive Left,Woman,Post-grad,Middle Eastern,$30-40K
1.10504782111,66,Secular Moderates,Woman,Post-grad,White,$100-120K
0.222041570836289,59,Nationalist Right,Woman,Some college,Other,Prefer not to say
0.349690352375431,49,Religious Moderates,Woman,4-year,Asian,$350-500K
0.454333047403682,72,Traditional Right,Man,4-year,White,$40-50K
0.160580016169997,76,Progressive Left,Man,4-year,Hispanic,$100-120K
0.12159522971774,21,Moderate Left,Man,Some college,White,$120-150K
0.459583325260664,72,Moderate Left,Man,4-year,White,$50-60K
0.512069574861196,76,Moderate Left,Man,4-year,White,$100-120K
0.916377216300623,67,Traditional Right,Man,Post-grad,Asian,$80-100K
0.758465047694107,78,Moderate Left,Woman,4-year,White,$80-100K
0.478058951667974,78,Nationalist Right,Man,Post-grad,Other,$30-40K
0.205564757332393,45,Religious Moderates,Woman,HS grad,White,$20-30K
2.97330186270061,55,Moderate Left,Woman,Post-grad,Asian,$200-250K
0.527359145441109,82,Progressive Left,Woman,Post-grad,White,$30-40K
0.373942110113471,74,Traditional Right,Man,HS grad,White,$20-30K
0.0733749106620612,77,Faith-Based Conservatives,Man,HS grad,White,$20-30K
0.72481632077162,69,Disillusioned Left,Woman,HS grad,White,$30-40K
1.4793352656918899,57,Religious Moderates,Man,HS grad,White,$40-50K
1.0328849712751,71,Traditional Right,Man,4-year,White,$40-50K
1.28301516452226,72,Traditional Right,Woman,HS grad,White,$20-30K
3.60622597725472,84,Progressive Left,Man,Post-grad,White,$70-80K
1.12272996866549,69,Nationalist Right,Woman,Some college,White,$20-30K
0.00199460952972208,39,Disillusioned Left,Woman,Some college,2+ races,$30-40K
0.77183500196846,80,Traditional Right,Woman,HS grad,White,$40-50K
0.00492056617881416,50,Moderate Left,Man,4-year,White,$30-40K
2.61759987275426,34,Progressive Left,Woman,4-year,Hispanic,$30-40K
0.426376548603996,64,Progressive Left,Man,Post-grad,White,<10K
1.25236338581227,45,Religious Moderates,Woman,Some college,White,$20-30K
0.36009863314605,62,Traditional Right,Man,4-year,White,$150-200K
0.634949128630478,79,Moderate Left,Man,Some college,Hispanic,$150-200K
0.743731209197414,79,Progressive Left,Woman,Post-grad,White,$100-120K
0.755415646145034,77,Progressive Left,Woman,4-year,White,$150-200K
0.385684195358594,47,Disillusioned Left,Man,Post-grad,Other,$10-20K
3.17174137357042,68,MAGA Right,Woman,HS grad,White,Prefer not to say
0.625837564375039,46,Nationalist Right,Man,Post-grad,Black,$100-120K
0.543600212832077,83,Moderate Left,Man,Some college,White,$120-150K
1.09586789486369,72,Progressive Left,Woman,Post-grad,White,$60-70K
0.703024309264447,73,Religious Moderates,Woman,Post-grad,White,$60-70K
0.735641881337766,71,Secular Moderates,Woman,4-year,White,$10-20K
0.517476700919787,67,Faith-Based Conservatives,Woman,HS grad,White,$30-40K
1.30455789877785,81,Nationalist Right,Man,HS grad,White,Prefer not to say
2.66804212984746,29,Traditional Right,Woman,Some college,2+ races,Prefer not to say
1.5114503255394,54,Nationalist Right,Man,Post-grad,White,$150-200K
0.921975635156675,68,Progressive Left,Man,Some college,Hispanic,$70-80K
1.03587226924768,60,Disillusioned Left,Woman,4-year,White,$70-80K
0.977339041808402,78,Religious Moderates,Woman,HS grad,White,$80-100K
0.23400052649714,72,Moderate Left,Man,4-year,Black,$20-30K
0.682544076088276,75,Moderate Left,Man,Some college,Black,$50-60K
0.589125209309144,74,Traditional Right,Man,Post-grad,White,$60-70K
0.937072938882875,80,Nationalist Right,Man,HS grad,White,$120-150K
