party,variable,people_1,people_2,people_3,people_4,people_5,people_6,people_7,people_8,people_NA,pct_1,pct_2,pct_3,pct_4,pct_5,pct_6,pct_7,pct_8,pct_NA
Moderate Left,pew_bornagain,1300.1459662627465,6419.082924302298,NA,NA,NA,NA,NA,NA,NA,0.16842951345203294,0.8315704865479671,NA,NA,NA,NA,NA,NA,NA
Moderate Left,pew_churatd,151.98203551617735,560.7328959369866,403.74431517542104,890.0378491932116,1888.9011483718684,3678.940103218674,144.89054315269163,NA,NA,0.01968875876992586,0.0726410505358058,0.0523037107591025,0.11530139367690946,0.24470075640335173,0.476594249940603,0.01877007991430164,NA,NA
Moderate Left,pew_religimp,1282.4961061817569,1732.465071131462,1767.7151827382577,2936.552530513559,NA,NA,NA,NA,NA,0.16614303376200054,0.22443499158950944,0.22900152434900317,0.3804204502994868,NA,NA,NA,NA,NA
Moderate Left,pid3,4021.9332282812247,250.1156059989536,2720.0162914546063,236.88578896155448,490.2779758687011,NA,NA,NA,NA,0.5210278494523075,0.0324016309847557,0.3523689127523078,0.03068775292453009,0.06351385388609888,NA,NA,NA,NA
Moderate Left,pid7,2424.3658312990497,1597.5673969821723,1818.1369459381344,1222.547223524236,188.06808444000467,174.6068943659165,75.5087116330371,218.42780238247784,NA,0.31406839538885495,0.206959454063453,0.2355334932690474,0.15837685873242044,0.02436358438209733,0.02261973272736258,0.00978189825739317,0.0282965831793711,NA
Moderate Left,race,4596.953031207647,1407.7592859258768,773.158321459707,461.5128851929769,48.98550692721702,319.3203351565845,93.3964253748176,18.143099320210304,NA,0.5955197204770484,0.18237045511716016,0.1001600460901883,0.05978743365895902,0.00634590677665879,0.04136686962954026,0.01209919108487287,0.00235037716557233,NA
Moderate Left,region,1406.581533550309,1601.2995232020312,2738.6195974914876,1972.7282363211975,NA,NA,NA,NA,NA,0.18221788127950575,0.2074429383949542,0.35477890814182456,0.25556027218371546,NA,NA,NA,NA,NA
Moderate Left,votereg,5268.754455981315,2001.9046256953015,448.5698088884276,NA,NA,NA,NA,NA,NA,0.6825493233425346,0.25933997476641263,0.05811070189105281,NA,NA,NA,NA,NA,NA
Nationalist Right,CC24_321a,2332.73494755336,7597.080169104936,NA,NA,NA,NA,NA,NA,NA,0.2349222941361672,0.7650777058638327,NA,NA,NA,NA,NA,NA,NA
Nationalist Right,CC24_321b,6641.271566510224,3288.543550148107,NA,NA,NA,NA,NA,NA,NA,0.6688212709387487,0.33117872906125134,NA,NA,NA,NA,NA,NA,NA
Nationalist Right,CC24_321c,8670.49564438405,1259.3194722742758,NA,NA,NA,NA,NA,NA,NA,0.8731779537202428,0.1268220462797573,NA,NA,NA,NA,NA,NA,NA
